,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
485,bonavista,66.05,75.0,0.0,4.61,48.65,-53.11
486,atherton,51.12,93.0,92.0,4.7,53.52,-2.49
487,cabra,75.07,47.0,0.0,3.36,37.47,-4.43
489,jardim,64.97,98.0,64.0,8.41,-21.48,-56.15
490,makambako,51.56,82.0,0.0,7.18,-8.85,34.82
492,general roca,44.6,45.0,0.0,3.36,-39.03,-67.58
493,rawson,36.17,48.0,24.0,5.73,-43.3,-65.11
494,port macquarie,66.2,55.0,80.0,13.87,-31.43,152.91
495,loreto,66.95,69.0,76.0,17.69,-23.27,-57.32
496,villaviciosa,62.6,88.0,75.0,1.12,43.48,-5.43
497,koumac,72.8,71.0,64.0,8.63,-20.56,164.28
498,hokitika,51.74,93.0,20.0,13.11,-42.72,170.96
500,honningsvag,51.02,97.0,92.0,14.12,70.98,25.97
501,svetlogorsk,50.0,100.0,90.0,2.24,53.14,59.15
502,fort nelson,51.8,87.0,90.0,5.82,58.81,-122.69
503,port hedland,69.8,26.0,0.0,14.99,-20.31,118.58
504,hovd,51.8,93.0,75.0,3.36,63.83,10.7
505,benemerito de las americas,84.86,67.0,64.0,3.71,16.52,-90.64
506,noumea,75.2,47.0,40.0,16.11,-22.28,166.46
508,lang son,76.94,99.0,92.0,2.71,21.83,106.73
509,merritt island,80.35,89.0,20.0,3.36,28.54,-80.67
510,villa carlos paz,51.8,20.0,0.0,13.87,-31.42,-64.5
511,lagoa,84.2,32.0,0.0,4.7,37.14,-8.45
512,yagodnoye,46.43,100.0,92.0,2.93,62.52,149.63
513,dunedin,44.72,76.0,12.0,14.79,-45.87,170.5
514,mareeba,75.2,64.0,75.0,8.05,-16.99,145.42
515,putina,51.8,5.0,0.0,6.93,-14.91,-69.87
516,coahuayana,77.66,72.0,24.0,2.04,18.62,-100.35
517,appingedam,52.99,87.0,92.0,10.29,53.32,6.86
518,homer,59.05,69.0,1.0,13.87,59.64,-151.54
520,teluknaga,78.69,74.0,20.0,3.36,-6.1,106.64
521,borkenes,50.95,93.0,88.0,17.22,68.77,16.17
522,bandar-e lengeh,90.98,100.0,0.0,11.54,26.56,54.88
523,hirado,84.2,83.0,40.0,8.05,33.32,129.49
524,singkang,77.0,94.0,75.0,3.36,2.1,102.8
525,marzuq,65.33,70.0,20.0,2.59,14.4,46.47
526,paamiut,43.73,93.0,92.0,32.93,61.99,-49.67
528,carnarvon,32.3,45.0,0.0,6.73,-30.97,22.13
529,nastola,64.4,82.0,75.0,10.29,60.95,25.93
530,cayenne,78.8,88.0,0.0,5.82,4.94,-52.33
531,muroto,80.6,88.0,75.0,4.7,33.37,134.14
532,yangambi,68.93,99.0,8.0,2.15,0.77,24.47
533,nizhnevartovsk,46.4,100.0,8.0,2.24,60.93,76.58
535,sibolga,65.15,100.0,8.0,1.48,1.74,98.78
536,poronaysk,55.25,97.0,0.0,3.94,49.22,143.1
537,rawlins,69.26,46.0,1.0,10.29,41.79,-107.24
538,mirnyy,51.38,82.0,0.0,5.73,56.57,36.46
539,moree,58.76,78.0,88.0,12.55,-29.46,149.84
540,isangel,72.35,100.0,56.0,18.48,-19.55,169.27
541,khromtau,54.62,88.0,64.0,12.1,50.26,58.44
542,mahanoro,63.26,95.0,56.0,2.37,-19.9,48.8
545,poso,77.93,100.0,44.0,1.48,-1.4,120.75
546,ratnagiri,76.49,100.0,100.0,13.22,16.98,73.3
547,banjar,68.21,86.0,0.0,2.15,-7.37,108.54
548,lubango,52.37,89.0,0.0,1.59,-14.92,13.49
549,wuwei,53.45,100.0,92.0,3.15,37.93,102.64
550,carauari,83.24,70.0,8.0,4.94,-4.88,-66.9
551,asyut,80.6,42.0,0.0,13.87,27.18,31.19
552,grasse,73.99,78.0,75.0,2.24,43.66,6.92
554,santo antonio do ica,80.72,76.0,44.0,4.61,-3.1,-67.94
555,high level,51.8,71.0,75.0,2.24,58.52,-117.13
556,ati,70.82,99.0,80.0,4.5,13.21,18.34
558,sao joao da barra,75.2,73.0,0.0,18.34,-21.64,-41.05
559,narsaq,55.4,43.0,92.0,13.87,60.91,-46.05
560,peniche,69.8,56.0,0.0,16.11,39.36,-9.38
561,merauke,80.72,80.0,32.0,12.21,-8.49,140.4
563,luanda,69.8,94.0,40.0,6.93,-8.83,13.24
564,lavrentiya,46.7,97.0,32.0,4.61,65.58,-170.99
565,tiznit,68.03,97.0,20.0,0.69,29.7,-9.73
566,katangli,58.4,90.0,0.0,5.73,51.71,143.23
567,gaya,75.23,97.0,68.0,4.72,24.8,85.01
568,lahaina,75.61,94.0,90.0,29.97,20.87,-156.68
569,oussouye,80.58,78.0,40.0,2.24,12.49,-16.54
570,riyadh,87.8,14.0,0.0,4.7,24.63,46.72
571,chegutu,66.95,49.0,32.0,12.21,-18.13,30.15
572,saint-francois,50.0,87.0,0.0,4.7,46.42,3.91
573,ouidah,77.0,94.0,40.0,10.29,6.37,2.09
574,motygino,54.26,99.0,88.0,3.04,58.18,94.69
575,villamontes,57.41,48.0,0.0,8.41,-21.26,-63.47
576,ballybofey,50.03,81.0,36.0,8.75,54.8,-7.78
577,teknaf,76.13,99.0,64.0,4.61,20.86,92.31
579,vrangel,66.77,91.0,92.0,3.71,42.73,133.08
580,sanandaj,52.55,74.0,0.0,2.15,35.31,47.0
581,samarai,75.95,100.0,92.0,10.65,-10.62,150.67
582,tengushevo,48.68,79.0,0.0,2.59,54.77,42.72
583,whithorn,84.2,74.0,75.0,13.87,18.26,-78.04
584,obo,72.08,89.0,92.0,6.51,5.39,26.49
585,filadelfia,72.53,39.0,0.0,22.17,-22.35,-60.04
587,capoeiras,67.22,95.0,88.0,5.95,-8.74,-36.63
588,peachland,70.3,35.0,90.0,3.36,49.77,-119.75
589,jaru,81.35,67.0,44.0,3.04,-10.43,-62.48
590,isoka,58.13,66.0,0.0,7.18,-10.15,32.64
591,bereznik,48.41,93.0,0.0,5.61,62.86,42.71
592,hailar,66.05,84.0,68.0,4.61,49.2,119.7
593,saint anthony,80.33,17.0,1.0,17.22,43.97,-111.68
594,makamba,55.16,94.0,8.0,2.59,-4.13,29.8
595,vestmanna,48.2,76.0,92.0,23.04,62.16,-7.17
596,dudinka,53.0,68.0,0.0,8.97,69.41,86.18
597,ust-kuyga,39.86,100.0,68.0,4.94,70.0,135.55
598,jalu,81.17,40.0,0.0,13.11,29.03,21.55
599,iquique,60.8,67.0,90.0,8.05,-20.22,-70.14
600,hobyo,73.25,87.0,12.0,19.04,5.35,48.53
601,coquimbo,55.4,66.0,0.0,3.36,-29.95,-71.34
602,carutapera,79.55,81.0,56.0,9.98,-1.2,-46.02
603,ancud,43.55,98.0,92.0,10.76,-41.87,-73.83
604,havoysund,53.6,81.0,75.0,28.86,71.0,24.66
605,maungatapere,56.69,80.0,92.0,19.15,-35.76,174.21
606,jizan,91.4,75.0,40.0,3.49,16.89,42.56
607,aasiaat,45.8,84.0,56.0,22.53,68.71,-52.87
608,nanma,64.88,94.0,76.0,3.15,35.7,113.14
609,suraabad,66.2,77.0,0.0,4.7,40.82,49.47
610,santa isabel do rio negro,82.7,68.0,24.0,6.73,-0.41,-65.02
611,phuket,76.01,88.0,40.0,3.36,7.89,98.4
612,kibakwe,55.52,93.0,32.0,2.93,-6.71,36.37
613,takaka,54.62,79.0,0.0,9.42,-40.86,172.81
614,kulmbach,56.12,83.0,90.0,4.61,50.1,11.45
615,san pedro,50.03,62.0,0.0,14.45,-33.68,-59.66
616,plock,64.52,93.0,68.0,6.96,52.55,19.71
618,flinders,59.0,87.0,75.0,8.05,-34.58,150.85
619,handan,74.78,86.0,68.0,4.94,36.58,114.48
620,monte escobedo,74.06,53.0,44.0,1.03,22.3,-103.58
621,sorland,54.08,99.0,92.0,21.16,67.67,12.69
622,hyvinkaa,62.6,100.0,75.0,9.17,60.63,24.87
624,manokwari,81.35,100.0,44.0,2.37,-0.87,134.08
625,inirida,78.29,84.0,12.0,2.37,3.87,-67.92
626,karaton,80.6,74.0,20.0,3.36,-6.34,106.1
